market_msa,Team,interest_norm,attendance_norm,conversion_gap
"Indianapolis-Carmel-Greenwood, IN",Indiana Fever,0.45038422986969595,0.9146585054489591,-0.46427427557926315
"Minneapolis-St. Paul-Bloomington, MN-WI",Minnesota Lynx,0.3939191446708988,0.550370788866958,-0.15645164419605923
"New York-Newark-Jersey City, NY-NJ",New York Liberty,1.0,0.9042507410728668,0.09574925892713315
"Las Vegas-Henderson-North Las Vegas, NV",Las Vegas Aces,0.3591713999331774,0.6236948997391022,-0.26452349980592477
"Phoenix-Mesa-Chandler, AZ",Phoenix Mercury,0.3244236551954561,0.669329869555377,-0.3449062143599209
"Chicago-Naperville-Elgin, IL-IN",Chicago Sky,0.6314734380220515,0.5016787379457502,0.12979470007630123
"Atlanta-Sandy Springs-Roswell, GA",Atlanta Dream,0.4607417307049783,0.24458810452833787,0.21615362617664044
"Dallas-Fort Worth-Arlington, TX",Dallas Wings,0.4590711660541263,0.4021402433547134,0.05693092269941291
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington Mystics,0.3735382559305045,0.2932292505607632,0.08030900536974128
"Los Angeles-Long Beach-Anaheim, CA",Los Angeles Sparks,0.5372535917139993,0.6879423734570135,-0.15068878174301414
"San Francisco-Oakland-Fremont, CA",Golden State Valkyries,0.5282325425993986,1.0,-0.47176745740060144
