market_msa,interest_norm,income_norm,conversion_gap,missed_revenue_score
"Las Vegas-Henderson-North Las Vegas, NV",0.6096556492757941,0.5621825078844641,-0.26452349980592477,-0.09066218699127507
"Phoenix-Mesa-Chandler, AZ",0.23142311783107808,0.6491431848088982,-0.3449062143599209,-0.051814136101864285
"Atlanta-Sandy Springs-Roswell, GA",0.22789308448531137,0.6596043432553831,0.21615362617664044,0.03249205493253357
"Indianapolis-Carmel-Greenwood, IN",1.0,0.5870305160004999,-0.46427427557926315,-0.27254316755905317
"New York-Newark-Jersey City, NY-NJ",0.12141060350431444,0.7289361670844758,0.09574925892713315,0.008473864945968437
"Dallas-Fort Worth-Arlington, TX",0.19338282676866272,0.6636550096671984,0.05693092269941291,0.007306485115852417
"Los Angeles-Long Beach-Anaheim, CA",0.14835129941905412,0.7054334801179177,-0.15068878174301414,-0.01576987838304822
"San Francisco-Oakland-Fremont, CA",0.3577274312482022,1.0,-0.47176745740060144,-0.16876416068241282
"Minneapolis-St. Paul-Bloomington, MN-WI",0.3777873901921902,0.7339204716710653,-0.15645164419605923,-0.04337870587211239
"Chicago-Naperville-Elgin, IL-IN",0.2412973148180665,0.6681541164621729,0.12979470007630123,0.02092599401165979
"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.21201002547625347,0.9313151065597272,0.08030900536974128,0.01585686369279288
